Quality Metrics for "2021-07-23 13-40-47.mp4":

Detected frame errors:
Frame 3163 occurred 3 times.
Frame 3164 occurred 1 times.
Frame 3175 occurred 3 times.
Frame 3176 occurred 1 times.
Frame 3187 occurred 3 times.
Frame 3188 occurred 1 times.
Frame 3199 occurred 3 times.
Frame 3200 occurred 1 times.
Frame 3211 occurred 3 times.
Frame 3212 occurred 1 times.
Frame 3223 occurred 3 times.
Frame 3224 occurred 1 times.
Frame 3235 occurred 3 times.
Frame 3236 occurred 1 times.
Frame 3242 occurred 3 times.
Frame 3243 occurred 1 times.
Frame 3247 occurred 3 times.
Frame 3248 occurred 1 times.
Frame 3259 occurred 3 times.
Frame 3260 occurred 1 times.
Frame 3295 occurred 3 times.
Frame 3296 occurred 1 times.
Frame 3304 occurred 3 times.
Frame 3305 occurred 1 times.
Frame 3328 occurred 3 times.
Frame 3329 occurred 1 times.
Frame 3331 occurred 3 times.
Frame 3333 occurred 1 times.
Frame 3349 occurred 3 times.
Frame 3350 occurred 1 times.
Frame 3355 occurred 3 times.
Frame 3356 occurred 1 times.
Frame 3363 occurred 3 times.
Frame 3364 occurred 1 times.
Frame 3366 occurred 3 times.
Frame 3367 occurred 1 times.
Frame 3368 occurred 3 times.
Frame 3369 occurred 1 times.
Frame 3410 occurred 3 times.
Frame 3411 occurred 1 times.
Frame 3415 occurred 3 times.
Frame 3416 occurred 1 times.
Frame 3439 occurred 3 times.
Frame 3440 occurred 1 times.
Frame 3451 occurred 3 times.
Frame 3453 occurred 1 times.
Frame 3463 occurred 3 times.
Frame 3464 occurred 1 times.
Frame 3471 occurred 3 times.
Frame 3472 occurred 1 times.
Frame 3475 occurred 3 times.
Frame 3476 occurred 1 times.
Frame 3478 occurred 3 times.
Frame 3479 occurred 1 times.
Frame 3487 occurred 3 times.
Frame 3488 occurred 1 times.
Frame 3499 occurred 3 times.
Frame 3500 occurred 1 times.
Frame 3511 occurred 3 times.
Frame 3512 occurred 1 times.
Frame 3523 occurred 3 times.
Frame 3524 occurred 1 times.
Frame 3535 occurred 3 times.
Frame 3536 occurred 1 times.
Frame 3559 occurred 3 times.
Frame 3560 occurred 1 times.
Frame 3571 occurred 3 times.
Frame 3572 occurred 1 times.
Frame 3583 occurred 3 times.
Frame 3584 occurred 1 times.
Frame 3585 occurred 3 times.
Frame 3586 occurred 1 times.
Frame 3588 occurred 3 times.
Frame 3589 occurred 1 times.
Frame 3591 occurred 3 times.
Frame 3592 occurred 1 times.
Frame 3594 occurred 3 times.
Frame 3596 occurred 1 times.
Frame 3597 occurred 3 times.
Frame 3598 occurred 1 times.
Frame 3601 occurred 3 times.
Frame 3602 occurred 1 times.
Frame 3607 occurred 3 times.
Frame 3608 occurred 1 times.
Frame 3619 occurred 3 times.
