Detected frames in file "D:/Captured Video\2021-09-22 13-09-45.mp4":
Frame 360 occurred 1 times.
Frame 361 occurred 1 times.
Frame 362 occurred 1 times.
Frame 363 occurred 1 times.
Frame 364 occurred 1 times.
Frame 365 occurred 1 times.
Frame 366 occurred 1 times.
Frame 367 occurred 1 times.
Frame 368 occurred 1 times.
Frame 369 occurred 1 times.
Frame 370 occurred 1 times.
Frame 371 occurred 1 times.
Frame 372 occurred 1 times.
Frame 373 occurred 1 times.
Frame 374 occurred 1 times.
Frame 375 occurred 1 times.
Frame 376 occurred 1 times.
Frame 377 occurred 1 times.
Frame 378 occurred 1 times.
Frame 379 occurred 1 times.
Frame 380 occurred 1 times.
Frame 381 occurred 1 times.
Frame 382 occurred 1 times.
Frame 383 occurred 1 times.
Frame 384 occurred 1 times.
Frame 385 occurred 1 times.
Frame 386 occurred 1 times.
Frame 387 occurred 1 times.
Frame 388 occurred 1 times.
Frame 389 occurred 1 times.
Frame 390 occurred 1 times.
Frame 391 occurred 1 times.
Frame 392 occurred 1 times.
Frame 393 occurred 1 times.
Frame 394 occurred 1 times.
Frame 395 occurred 1 times.
Frame 396 occurred 1 times.
Frame 397 occurred 1 times.
Frame 398 occurred 1 times.
Frame 399 occurred 1 times.
Frame 400 occurred 1 times.
Frame 401 occurred 1 times.
Frame 402 occurred 1 times.
Frame 403 occurred 1 times.
Frame 404 occurred 1 times.
Frame 405 occurred 1 times.
Frame 406 occurred 1 times.
Frame 407 occurred 1 times.
Frame 408 occurred 1 times.
Frame 409 occurred 1 times.
Frame 410 occurred 1 times.
Frame 411 occurred 1 times.
Frame 412 occurred 1 times.
Frame 413 occurred 1 times.
Frame 414 occurred 1 times.
Frame 415 occurred 1 times.
Frame 416 occurred 1 times.
Frame 417 occurred 1 times.
Frame 418 occurred 1 times.
Frame 419 occurred 1 times.
Frame 420 occurred 1 times.
Frame 421 occurred 1 times.
Frame 422 occurred 1 times.
Frame 423 occurred 1 times.
Frame 424 occurred 1 times.
Frame 425 occurred 1 times.
Frame 426 occurred 1 times.
Frame 427 occurred 1 times.
Frame 428 occurred 1 times.
Frame 429 occurred 1 times.
Frame 430 occurred 1 times.
Frame 431 occurred 1 times.
Frame 432 occurred 1 times.
Frame 433 occurred 1 times.
Frame 434 occurred 1 times.
Frame 435 occurred 1 times.
Frame 436 occurred 1 times.
Frame 437 occurred 1 times.
Frame 438 occurred 1 times.
Frame 439 occurred 1 times.
Frame 440 occurred 1 times.
Frame 441 occurred 1 times.
Frame 442 occurred 1 times.
Frame 443 occurred 1 times.
Frame 444 occurred 1 times.
Frame 445 occurred 1 times.
Frame 446 occurred 1 times.
Frame 447 occurred 1 times.
Frame 448 occurred 1 times.
Frame 449 occurred 1 times.
Frame 450 occurred 1 times.
Frame 451 occurred 1 times.
Frame 452 occurred 1 times.
Frame 453 occurred 1 times.
Frame 454 occurred 1 times.
Frame 455 occurred 1 times.
Frame 456 occurred 1 times.
Frame 457 occurred 1 times.
Frame 458 occurred 1 times.
Frame 459 occurred 1 times.
Frame 460 occurred 1 times.
Frame 461 occurred 1 times.
Frame 462 occurred 1 times.
Frame 463 occurred 1 times.
Frame 464 occurred 1 times.
Frame 465 occurred 1 times.
Frame 466 occurred 1 times.
Frame 467 occurred 1 times.
Frame 468 occurred 1 times.
Frame 469 occurred 1 times.
Frame 470 occurred 1 times.
Frame 471 occurred 1 times.
Frame 472 occurred 1 times.
Frame 473 occurred 1 times.
Frame 474 occurred 1 times.
Frame 475 occurred 1 times.
Frame 476 occurred 1 times.
Frame 477 occurred 1 times.
Frame 478 occurred 1 times.
Frame 479 occurred 1 times.
Frame 480 occurred 1 times.
Frame 481 occurred 1 times.
Frame 482 occurred 1 times.
Frame 483 occurred 1 times.
Frame 484 occurred 1 times.
Frame 485 occurred 1 times.
Frame 486 occurred 1 times.
Frame 487 occurred 1 times.
Frame 488 occurred 1 times.
Frame 489 occurred 1 times.
Frame 490 occurred 1 times.
Frame 491 occurred 1 times.
Frame 492 occurred 1 times.
Frame 493 occurred 1 times.
Frame 494 occurred 1 times.
Frame 495 occurred 1 times.
Frame 496 occurred 1 times.
Frame 497 occurred 1 times.
Frame 498 occurred 1 times.
Frame 499 occurred 1 times.
Frame 500 occurred 1 times.
Frame 501 occurred 1 times.
Frame 502 occurred 1 times.
Frame 503 occurred 1 times.
Frame 504 occurred 1 times.
Frame 505 occurred 1 times.
Frame 506 occurred 1 times.
Frame 507 occurred 1 times.
Frame 508 occurred 1 times.
Frame 509 occurred 1 times.
Frame 510 occurred 1 times.
Frame 511 occurred 1 times.
Frame 512 occurred 1 times.
Frame 513 occurred 1 times.
Frame 514 occurred 1 times.
Frame 515 occurred 1 times.
Frame 516 occurred 1 times.
Frame 517 occurred 1 times.
Frame 518 occurred 1 times.
